"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
13.11.2020;Москва;497516;358924;7643;70;5974;4219
15.03.2020;Москва;35;1;0;0;0;1
04.12.2020;Москва;632057;478724;9203;77;6868;6891
25.07.2021;Москва;1488078;1331614;25106;103;3406;5482
29.04.2020;Москва;50646;4610;546;67;2220;480
02.01.2021;Москва;821128;639809;11356;76;5452;6107
09.11.2021;Москва;1871893;1648363;32207;95;5287;7257
09.06.2020;Москва;198590;109737;3029;59;1572;5390
17.09.2021;Москва;1596658;1470979;28247;42;2537;1359
28.02.2021;Москва;978476;897698;15055;48;1737;1819
09.04.2021;Москва;1044220;957137;17139;57;2421;1989
20.07.2020;Москва;234123;170918;4314;15;578;379
25.07.2020;Москва;237264;174415;4389;14;648;561
31.03.2021;Москва;1026740;944738;16656;53;1286;1537
11.01.2022;Москва;2060459;1893867;37533;68;4635;2692
31.08.2020;Москва;262418;214121;4821;12;685;916
22.06.2021;Москва;1300709;1123295;21598;86;6555;3458
13.11.2021;Москва;1891428;1674966;32592;97;4185;6597
16.05.2021;Москва;1137097;1025794;19242;56;2789;2414
11.10.2020;Москва;330418;261619;5595;35;4501;1186
18.03.2020;Москва;86;1;0;0;31;0
26.07.2021;Москва;1490707;1336194;25207;101;2629;4580
07.12.2020;Москва;654841;495871;9425;76;7279;5027
10.11.2020;Москва;481068;346889;7429;68;5902;3663
18.08.2021;Москва;1547244;1417825;26766;59;1590;3029
08.06.2020;Москва;197018;104347;2970;51;2001;1633
27.02.2021;Москва;976739;895879;15007;41;1825;2008
14.09.2021;Москва;1589804;1466721;28111;47;1609;1362
30.04.2020;Москва;53739;5135;611;65;3093;525
12.11.2021;Москва;1887243;1668369;32495;96;5183;6952
03.01.2021;Москва;824979;645923;11433;77;3851;6114
06.02.2022;Москва;2495891;2034827;39434;81;18856;13022
01.04.2021;Москва;1028891;946370;16707;51;2151;1632
28.07.2020;Москва;239315;175812;4421;10;674;827
17.07.2020;Москва;232376;169637;4271;13;575;682
08.04.2021;Москва;1041799;955148;17082;55;2024;1746
16.11.2021;Москва;1901557;1695190;32877;97;2606;7387
10.10.2020;Москва;325917;260433;5560;30;4105;1306
13.05.2021;Москва;1127417;1017740;19068;55;2787;2643
08.01.2022;Москва;2049772;1887020;37324;69;3072;2060
25.06.2021;Москва;1323757;1135580;21876;98;7916;4558
01.09.2020;Москва;263059;215383;4832;11;641;1262
06.12.2020;Москва;647562;490844;9349;72;7512;5536
27.07.2021;Москва;1493330;1341106;25305;98;2623;4912
17.03.2020;Москва;55;1;0;0;2;0
17.08.2021;Москва;1545654;1414796;26707;56;2006;2467
11.11.2020;Москва;485545;350746;7502;73;4477;3857
15.09.2021;Москва;1591642;1468151;28160;49;1838;1430
26.02.2021;Москва;974914;893871;14966;45;1336;2423
07.06.2020;Москва;195017;102714;2919;55;1956;2283
04.01.2021;Москва;828570;652324;11507;74;3591;6401
11.11.2021;Москва;1882060;1661417;32399;94;6240;5505
01.05.2020;Москва;57300;5766;658;47;3561;631
27.07.2020;Москва;238641;174985;4411;13;694;264
02.04.2021;Москва;1030655;947694;16764;57;1764;1324
05.02.2022;Москва;2477035;2021805;39353;82;22444;13840
07.04.2021;Москва;1039775;953402;17027;51;1585;1551
18.07.2020;Москва;232954;170180;4285;14;578;543
14.05.2021;Москва;1131235;1020683;19128;60;3818;2943
09.10.2020;Москва;321812;259127;5530;33;3701;1424
15.11.2021;Москва;1898951;1687803;32780;93;3789;6364
02.09.2020;Москва;263684;216742;4844;12;625;1359
24.06.2021;Москва;1315841;1131022;21778;92;8598;4057
09.01.2022;Москва;2053046;1889078;37395;71;3274;2058
09.09.2020;Москва;268384;224840;4933;12;642;1338
